artists,frequency,rank_sum,ranking_score,rank,rank_sum_normalized,frequency_normalized
Sabrina Carpenter,1104,175.2409824362176,814.8614736543263,1.0,1.0000000000000002,0.9666958808063102
Taylor Swift,1142,98.89660386692736,719.3449058003911,2.0,0.564296595602753,0.9999999999999999
Chappell Roan,877,84.953294076947,565.9299411154205,3.0,0.4847210242521251,0.7677475898334793
Zach Bryan,976,39.413206380807935,547.1198095712119,4.0,0.2248201433018874,0.8545135845749342
Morgan Wallen,971,35.88360963249001,539.325414448735,5.0,0.20467645560396722,0.8501314636283961
Billie Eilish,751,75.76556443532608,489.1483466529891,6.0,0.43228592479156047,0.6573181419807187
Kendrick Lamar,395,93.6828107171832,338.0242160757748,7.0,0.5345410658867725,0.34531113058720425
Benson Boone,521,46.088384136471426,329.6325762047071,8.0,0.2629159105031319,0.45574057843996496
SZA,510,23.02056345096281,289.53084517644425,9.0,0.13126603407406004,0.4460999123575811
Noah Kahan,422,46.82030146913744,281.23045220370614,10.0,0.2670930205871508,0.3689745836985101
"Zach Bryan, Kacey Musgraves",395,42.32482915594309,260.9872437339146,11.0,0.24143700467689438,0.34531113058720425
Bad Bunny,314,47.32227147174541,227.98340720761811,12.0,0.26995780307854383,0.27432077125328663
Teddy Swims,359,17.27763849638036,205.41645774457055,13.0,0.09849070731390479,0.3137598597721297
Ariana Grande,307,34.39367793104425,205.09051689656638,14.0,0.19617329758755725,0.26818580192813324
Tommy Richman,277,38.28750014040245,195.93125021060368,15.0,0.21839564878785137,0.2418930762489045
Shaboozey,270,36.1467283075606,189.2200924613409,16.0,0.20617809468515644,0.23575810692375113
"Tyler, The Creator, Kali Uchis",341,11.01245732317392,187.01868598476088,17.0,0.06273482302369408,0.2979842243645925
"Post Malone, Morgan Wallen",245,42.707937176582206,186.5619057648733,18.0,0.2436234324397827,0.2138475021910605
Gracie Abrams,258,37.640783899868616,185.46117584980294,19.0,0.2147047880727584,0.22524101665205962
"Lady Gaga, Bruno Mars",155,71.7780636030636,185.1670954045954,20.0,0.4095289422839776,0.13496932515337426
Hozier,244,37.414252582069615,178.12137887310442,21.0,0.21341195593217008,0.21297107800175286
Tate McRae,292,21.21013367178791,177.81520050768188,22.0,0.12093376818898592,0.25503943908851884
Jack Harlow,157,56.52114815258805,163.28172222888207,23.0,0.32245651957324867,0.1367221735319895
Doja Cat,272,17.820461432808823,162.73069214921324,24.0,0.10158864072850632,0.23751095530236638
Mitski,198,25.034658915324012,136.55198837298602,25.0,0.1427606361266102,0.17265556529360213
Jimin,184,29.169031329789313,135.75354699468397,26.0,0.16635582636571444,0.16038562664329536
Olivia Rodrigo,243,8.525564791159898,134.28834718673986,27.0,0.04854193072599636,0.21209465381244524
